feature,first_quarter,last_quarter,non_null_quarters
eur_rub_avg_q,2013Q1,2026Q2,54
eur_rub_eoq,2013Q1,2026Q2,54
eur_rub_max_q,2013Q1,2026Q2,54
eur_rub_min_q,2013Q1,2026Q2,54
eur_rub_obs_n,2013Q1,2026Q2,54
family_mortgage_new_rules_active_q,2013Q1,2026Q2,54
imoex_avg_q,2013Q1,2026Q2,54
imoex_eoq,2013Q1,2026Q2,54
imoex_max_q,2013Q1,2026Q2,54
imoex_min_q,2013Q1,2026Q2,54
imoex_obs_n,2013Q1,2026Q2,54
it_mortgage_new_rules_active_q,2013Q1,2026Q2,54
mortgage_avg_ticket_mln_rub_q,2013Q1,2026Q1,53
mortgage_total_count_q,2013Q1,2026Q1,53
mortgage_total_rate_pct_q,2013Q1,2026Q1,53
mortgage_total_volume_mln_rub_q,2013Q1,2026Q1,53
rgbi_avg_q,2013Q1,2026Q2,54
rgbi_eoq,2013Q1,2026Q2,54
rgbi_max_q,2013Q1,2026Q2,54
rgbi_min_q,2013Q1,2026Q2,54
rgbi_obs_n,2013Q1,2026Q2,54
subsidized_mortgage_2020_active_q,2013Q1,2026Q2,54
usd_rub_avg_q,2013Q1,2026Q2,54
usd_rub_eoq,2013Q1,2026Q2,54
usd_rub_max_q,2013Q1,2026Q2,54
usd_rub_min_q,2013Q1,2026Q2,54
usd_rub_obs_n,2013Q1,2026Q2,54
eur_rub_log_return_q,2013Q2,2026Q2,53
eur_rub_qoq_change,2013Q2,2026Q2,53
imoex_log_return_q,2013Q2,2026Q2,53
imoex_qoq_change,2013Q2,2026Q2,53
mortgage_total_count_q_log_return_q,2013Q2,2026Q1,52
mortgage_total_count_q_qoq_change,2013Q2,2026Q1,52
mortgage_total_rate_pct_q_log_return_q,2013Q2,2026Q1,52
mortgage_total_rate_pct_q_qoq_change,2013Q2,2026Q1,52
mortgage_total_volume_mln_rub_q_log_return_q,2013Q2,2026Q1,52
mortgage_total_volume_mln_rub_q_qoq_change,2013Q2,2026Q1,52
rgbi_log_return_q,2013Q2,2026Q2,53
rgbi_qoq_change,2013Q2,2026Q2,53
usd_rub_log_return_q,2013Q2,2026Q2,53
usd_rub_qoq_change,2013Q2,2026Q2,53
key_rate_avg_q,2013Q3,2026Q2,52
key_rate_eoq,2013Q3,2026Q2,52
key_rate_max_q,2013Q3,2026Q2,52
key_rate_min_q,2013Q3,2026Q2,52
key_rate_obs_n,2013Q3,2026Q2,52
key_rate_log_return_q,2013Q4,2026Q2,51
key_rate_qoq_change,2013Q4,2026Q2,51
mortgage_ddu_avg_ticket_mln_rub_q,2016Q1,2026Q1,41
mortgage_ddu_count_q,2016Q1,2026Q1,41
mortgage_ddu_count_share_q,2016Q1,2026Q1,41
mortgage_ddu_rate_pct_q,2016Q1,2026Q1,41
mortgage_ddu_volume_mln_rub_q,2016Q1,2026Q1,41
mortgage_ddu_volume_share_q,2016Q1,2026Q1,41
mortgage_ddu_count_q_log_return_q,2016Q2,2026Q1,40
mortgage_ddu_count_q_qoq_change,2016Q2,2026Q1,40
mortgage_ddu_rate_pct_q_log_return_q,2016Q2,2026Q1,40
mortgage_ddu_rate_pct_q_qoq_change,2016Q2,2026Q1,40
mortgage_ddu_volume_mln_rub_q_log_return_q,2016Q2,2026Q1,40
mortgage_ddu_volume_mln_rub_q_qoq_change,2016Q2,2026Q1,40
mredc_avg_q,2016Q4,2026Q2,39
mredc_eoq,2016Q4,2026Q2,39
mredc_max_q,2016Q4,2026Q2,39
mredc_min_q,2016Q4,2026Q2,39
mredc_obs_n,2016Q4,2026Q2,39
mredc_log_return_q,2017Q1,2026Q2,38
mredc_qoq_change,2017Q1,2026Q2,38
