date,region,mortgage_total_count_monthly,mortgage_total_volume_mln_rub_monthly,mortgage_total_rate_pct_monthly,mortgage_ddu_count_monthly,mortgage_ddu_volume_mln_rub_monthly,mortgage_ddu_rate_pct_monthly,source
2013-01-01,г. Москва,18.48,59.3,12.72,,,,retro_xlsx
2013-02-01,г. Москва,27.81,97.45,12.74,,,,retro_xlsx
2013-03-01,г. Москва,29.270000000000003,108.44999999999999,12.89,,,,retro_xlsx
2013-04-01,г. Москва,34.25,131.14,12.64,,,,retro_xlsx
2013-05-01,г. Москва,27.180000000000007,101.39000000000004,12.57,,,,retro_xlsx
2013-06-01,г. Москва,32.45999999999998,111.74000000000001,12.48,,,,retro_xlsx
2013-07-01,г. Москва,38.05000000000001,135.31999999999994,12.53,,,,retro_xlsx
2013-08-01,г. Москва,37.80000000000001,125.13999999999999,12.52,,,,retro_xlsx
2013-09-01,г. Москва,35.74000000000001,120.97000000000003,12.27,,,,retro_xlsx
2013-10-01,г. Москва,39.64999999999998,142.98000000000013,12.2,,,,retro_xlsx
2013-11-01,г. Москва,38.0,136.33999999999992,12.58,,,,retro_xlsx
2013-12-01,г. Москва,51.81999999999999,186.97000000000003,12.11,,,,retro_xlsx
2014-01-01,г. Москва,26.74,92.37,12.18,,,,retro_xlsx
2014-02-01,г. Москва,39.38000000000001,139.63,12.09,,,,retro_xlsx
2014-03-01,г. Москва,45.94999999999999,164.88,12.12,,,,retro_xlsx
2014-04-01,г. Москва,56.19,200.64999999999998,12.26,,,,retro_xlsx
2014-05-01,г. Москва,38.57000000000002,136.5,12.17,,,,retro_xlsx
2014-06-01,г. Москва,33.22999999999999,128.89999999999998,12.3,,,,retro_xlsx
2014-07-01,г. Москва,35.420000000000016,138.71000000000004,12.22,,,,retro_xlsx
2014-08-01,г. Москва,30.639999999999986,118.91999999999996,12.33,,,,retro_xlsx
2014-09-01,г. Москва,32.99000000000001,127.45000000000005,12.78,,,,retro_xlsx
2014-10-01,г. Москва,38.589999999999975,155.92000000000007,12.4,,,,retro_xlsx
2014-11-01,г. Москва,33.97000000000003,130.72000000000003,12.69,,,,retro_xlsx
2014-12-01,г. Москва,50.089999999999975,201.8599999999999,13.47,,,,retro_xlsx
2015-01-01,г. Москва,17.36,58.9,13.95,,,,retro_xlsx
2015-02-01,г. Москва,20.32,72.01999999999998,15.08,,,,retro_xlsx
2015-03-01,г. Москва,16.04,53.32000000000002,15.23,,,,retro_xlsx
2015-04-01,г. Москва,20.510000000000005,82.75999999999999,14.03,,,,retro_xlsx
2015-05-01,г. Москва,18.629999999999995,74.98000000000002,13.36,,,,retro_xlsx
2015-06-01,г. Москва,21.28,79.33999999999997,13.05,,,,retro_xlsx
2015-07-01,г. Москва,23.720000000000013,96.07,13.49,,,,retro_xlsx
2015-08-01,г. Москва,23.869999999999976,84.13999999999999,12.98,,,,retro_xlsx
