quarter,n_deals,actual_log_price_median,baseline_market_log_price_q,geo_score_q,project_score_q,market_log_level_q,market_log_ret_q,market_price_sqm_q
2015Q1,1,12.510335248129175,12.510335248129175,0.29775296535891704,-0.5205567497720697,12.733139032542327,,338791.120433404
2015Q2,4,12.194887290492776,12.194887290492776,0.11387402414199721,-0.15537106048536964,12.225859884452511,-0.5072791480898164,203996.86079588984
2015Q3,2,12.804536508700037,12.804536508700037,0.4517059428628982,-0.0002765222268603651,12.353107088064,0.1272472036114891,231678.77207249773
2015Q4,1352,12.018603357279787,12.018603357279787,0.07631647067874922,-0.011705688782166431,11.97939986820506,-0.3737072198589395,159436.3191019732
2016Q1,3798,11.982435222281294,11.982435222281294,0.002632775233530747,-0.016446539183778114,11.934835368255627,-0.04456449994943412,152487.11326148454
2016Q2,5676,11.957425371514706,11.957425371514706,0.002632775233530747,-0.026701043559693452,11.931919421702675,-0.002915946552951354,152043.11663900974
2016Q3,7781,12.045880418923426,12.045880418923426,0.00611214292580118,-0.013361713063247523,11.968232233227114,0.036312811524439326,157665.6977167127
2016Q4,8858,12.007300740668068,12.007300740668068,-0.0006219752764394307,0.005180839487716481,11.963010144854957,-0.00522208837215743,156844.4995608348
2017Q1,7276,11.970223713704845,11.970223713704845,-0.07737328513039032,0.017830754153397674,11.961174406747514,-0.0018357381074434187,156556.8382522445
2017Q2,7880,11.9539538817762,11.9539538817762,-0.07737328513039032,0.007468242633583564,11.976700621273288,0.015526214525774407,159006.54140583222
2017Q3,9990,11.95578589833059,11.95578589833059,-0.09694284593046218,0.019430400333942298,11.971168236050007,-0.005532385223281366,158129.28486385415
2017Q4,12374,11.951825349164631,11.951825349164631,-0.09655593572464358,0.015359308012221413,11.974317180463126,0.0031489444131196365,158628.0100087492
2018Q1,10136,11.952469886731256,11.952469886731256,-0.07737328513039032,0.015959796413663095,11.980582684686487,0.006265504223360807,159625.01458200728
2018Q2,12058,12.000265386037013,12.000265386037013,-0.03882931125744724,0.0105981754474306,12.001876843275806,0.021294158589318712,163060.54348949064
2018Q3,13888,12.019803304673854,12.019803304673854,-0.06355711898908664,0.022134311959167707,12.01141435941997,0.00953751614416376,164623.17602673802
2018Q4,19587,12.038186396532474,12.038186396532474,-0.04903864912901044,0.011981474935087527,12.045836733178213,0.0344223737582432,170388.55628635196
2019Q1,12601,12.078282909431886,12.078282909431886,-0.03525630440959324,-0.0014407138624875533,12.086834632443075,0.040997899264862525,177519.30320636072
2019Q2,14017,12.136186518066006,12.136186518066006,-0.03213776841282089,0.0020424333639317074,12.11621587633703,0.02938124389395469,182812.41954948634
2019Q3,12627,12.149581603066048,12.149581603066048,-0.03525630440959324,0.007120738360442518,12.138541649960231,0.022325773623201428,186939.74972931796
2019Q4,14515,12.176981316505996,12.176981316505996,-0.028183587370991796,0.0061960543663118275,12.159723970075891,0.021182320115659792,190941.80410967025
2020Q1,13105,12.211307270941333,12.211307270941333,-0.03213776841282089,0.00031699221702515684,12.203582886395951,0.043858916320060004,199502.66754907122
2020Q2,8292,12.26434155365415,12.26434155365415,-0.03447182891020133,-0.006077675160166364,12.239078320026133,0.035495433630181594,206711.2808272608
2020Q3,19085,12.311783099952288,12.311783099952288,-0.017666320406225365,-0.011162407698680862,12.274718475829715,0.035640155803582374,214211.361219518
2020Q4,21522,12.354492650648448,12.354492650648448,-0.017666320406225365,-0.020310356873246744,12.33662059694846,0.06190212111874516,227890.51539014463
2021Q1,14737,12.407224993161112,12.407224993161112,-0.01652648626113261,-0.022270156385245106,12.403794278711182,0.06717368176272132,243724.62447215064
2021Q2,17388,12.49562821038263,12.49562821038263,-0.020831946814444897,-0.014031145513284604,12.480721635129703,0.07692735641852089,263213.72800049384
2021Q3,14017,12.547851278295521,12.547851278295521,-0.013803678452275002,-0.025446142041675217,12.538230795466527,0.057509160336824294,278794.65757351526
2021Q4,19483,12.57673576220567,12.57673576220567,-0.010579421012268629,-0.0241567852639805,12.56755099912121,0.029320203654682686,287089.98986227345
2022Q1,17697,12.607737173909365,12.607737173909365,-0.010579421012268629,-0.023475914947746215,12.615417658293417,0.04786665917220745,301166.2323687167
2022Q2,11090,12.580987475933824,12.580987475933824,-0.013803678452275002,-0.04556036763294355,12.633358537533574,0.017940879240157415,306618.17950101284
