position,model,feature,coefficient
0,baseline,__intercept__,10.257166322389114
0,baseline,mortgage_avg_ticket_mln_rub_q,0.44248766534035955
0,baseline,subsidized_mortgage_2020_active_q,-0.06264066771256083
0,baseline,rgbi_eoq,0.1673136047716196
0,baseline,usd_rub_min_q,0.7361683116880985
0,baseline,key_rate_max_q,0.07865233491162194
0,baseline,mortgage_total_volume_mln_rub_q,-0.11857655429487401
0,baseline,mortgage_total_volume_mln_rub_q_log_return_q,-0.008448731115905161
0,baseline,imoex_max_q,0.17602604078619905
0,baseline_plus_trend,__intercept__,-2.219061542399901
0,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.030361481952517977
0,baseline_plus_trend,subsidized_mortgage_2020_active_q,-0.008389766490733308
0,baseline_plus_trend,rgbi_eoq,0.3206473307195936
0,baseline_plus_trend,usd_rub_min_q,-0.054581828587648484
0,baseline_plus_trend,key_rate_max_q,0.04160432183105556
0,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.5415719725747266
0,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,-0.004957270639522449
0,baseline_plus_trend,imoex_max_q,1.1608084080572387
0,baseline_plus_trend,trend_3,0.9835871337735114
0,baseline_plus_trend,trend_6,-0.938201997533298
0,baseline_plus_trend,trend_10,0.9946239907499894
1,baseline,__intercept__,12.785864863360505
1,baseline,mortgage_avg_ticket_mln_rub_q,0.25254422536328036
1,baseline,subsidized_mortgage_2020_active_q,-0.005804318162710764
1,baseline,rgbi_eoq,-0.6022414344311117
1,baseline,usd_rub_min_q,0.35733400331184906
1,baseline,key_rate_max_q,0.04083258623663166
1,baseline,mortgage_total_volume_mln_rub_q,-0.4909831196478879
1,baseline,mortgage_total_volume_mln_rub_q_log_return_q,-0.016614352618528727
1,baseline,imoex_max_q,-0.2343466229570372
1,baseline_plus_trend,__intercept__,7.416800068569268
1,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.1650643217249087
1,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.0006719024537589352
1,baseline_plus_trend,rgbi_eoq,-0.052647894628388
1,baseline_plus_trend,usd_rub_min_q,0.059958751366917376
1,baseline_plus_trend,key_rate_max_q,0.09329435958126632
1,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.013073681937979535
1,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,-0.01826032542006395
1,baseline_plus_trend,imoex_max_q,0.004100850125413359
1,baseline_plus_trend,trend_3,0.11718305344819716
1,baseline_plus_trend,trend_6,0.12035416762238922
1,baseline_plus_trend,trend_10,0.12566271744855903
2,baseline,__intercept__,11.587059914653132
2,baseline,mortgage_avg_ticket_mln_rub_q,0.2863911550470821
2,baseline,subsidized_mortgage_2020_active_q,-0.04027250462969916
2,baseline,rgbi_eoq,-0.08554500761271756
2,baseline,usd_rub_min_q,0.04799093725435318
2,baseline,key_rate_max_q,0.12543447174528038
2,baseline,mortgage_total_volume_mln_rub_q,0.012980894404444696
2,baseline,mortgage_total_volume_mln_rub_q_log_return_q,-0.02395677658286638
2,baseline,imoex_max_q,0.007323128897713345
2,baseline_plus_trend,__intercept__,6.55859979745528
2,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.22734876483670288
2,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.006776398216741437
2,baseline_plus_trend,rgbi_eoq,-0.04647212061924009
2,baseline_plus_trend,usd_rub_min_q,0.06781773980145187
2,baseline_plus_trend,key_rate_max_q,0.0632203628316936
2,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.0263681300361791
2,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,-0.024898354700684466
2,baseline_plus_trend,imoex_max_q,0.018473685846767115
2,baseline_plus_trend,trend_3,0.18974674423518434
2,baseline_plus_trend,trend_6,0.10898262444150485
