position,test_start,test_end,model,n_features,alpha,R2_train,R2_test,MAE_test,RMSE_test
0,0,14,baseline,8,0.01778279410038923,0.9689125006655769,-0.8013315450493015,0.16519339656374932,0.29220529026906955
0,0,14,baseline_plus_trend,11,0.001,0.9950012595025256,-5.02052703004312,0.5073720479344247,0.5342056813022289
1,3,17,baseline,8,0.01778279410038923,0.8735372691519192,-36.66066260060419,0.23967013724956537,0.2440720757489675
1,3,17,baseline_plus_trend,11,1.7782794100389228,0.8907633304989019,-93.29300122883613,0.31253148626850863,0.3862014018255278
2,7,21,baseline,8,1.7782794100389228,0.8254354438833202,-5.074852189953264,0.1932486156313109,0.1973671067966969
2,7,21,baseline_plus_trend,11,1.0,0.8774924306422351,-4.184293991381677,0.1494087870333573,0.18232731141261138
3,10,24,baseline,8,0.03162277660168379,0.8895652728985952,-0.08659833081322144,0.09396487581834036,0.12070835402357608
3,10,24,baseline_plus_trend,11,1.0,0.9082295637421007,-1.0975895261179631,0.1314882172703951,0.16771158526417027
4,14,28,baseline,8,0.01778279410038923,0.9370315937634888,-0.8332728910668215,0.20257828844219666,0.2384298970169953
4,14,28,baseline_plus_trend,11,1.7782794100389228,0.926571206821932,0.3338608500026755,0.11781854441398501,0.1437241114003508
5,17,31,baseline,8,0.05623413251903491,0.9493667125916794,-0.6646026247917767,0.21643305401566146,0.23968454138433984
5,17,31,baseline_plus_trend,11,1.7782794100389228,0.9376700378711078,0.6402552928649144,0.08919943364786904,0.11142482065763312
6,21,35,baseline,8,0.03162277660168379,0.9496396420220118,-2.034257433553453,0.19803090691548406,0.2492528751402041
6,21,35,baseline_plus_trend,11,3.1622776601683795,0.9262945483084675,0.4693180064734498,0.08304674504989824,0.10423921695091101
7,24,38,baseline,8,0.03162277660168379,0.9399878025949909,-9.046763688366868,0.3012278142888657,0.3612437499843766
7,24,38,baseline_plus_trend,11,1.7782794100389228,0.9174145025929018,-0.7240481405337078,0.12015660807967674,0.149644907631969
8,28,42,baseline,8,0.1778279410038923,0.9117817799086083,-7.71887867750338,0.2550320498624775,0.29954053531736113
8,28,42,baseline_plus_trend,11,1.7782794100389228,0.8959695138536579,-3.947225206318125,0.20658034530352598,0.2256348219652188
9,31,45,baseline,8,0.001,0.8459605939358033,-8.399797942181944,0.3463307982499935,0.4226645561409746
9,31,45,baseline_plus_trend,11,0.001,0.9033023984395951,-60.331141825881765,0.9932880498373293,1.079635350623962
