position,model,feature,mean_abs_shap
0,baseline,mortgage_avg_ticket_mln_rub_q,0.22386712859777155
0,baseline,subsidized_mortgage_2020_active_q,0.031027011270737717
0,baseline,rgbi_eoq,0.022016241861263483
0,baseline,usd_rub_min_q,0.06301733273667107
0,baseline,key_rate_max_q,0.04325469198833737
0,baseline,mortgage_total_volume_mln_rub_q,0.004053237913097201
0,baseline,mortgage_total_volume_mln_rub_q_log_return_q,0.013234855674029164
0,baseline,imoex_max_q,0.0021925726002942256
0,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.015360739557463346
0,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.004155597137969879
0,baseline_plus_trend,rgbi_eoq,0.04219291787375657
0,baseline_plus_trend,usd_rub_min_q,0.0046723027857535505
0,baseline_plus_trend,key_rate_max_q,0.022880212370148655
0,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.018512260412390923
0,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,0.007765516567058225
0,baseline_plus_trend,imoex_max_q,0.014458978332579812
0,baseline_plus_trend,trend_3,0.2643595272541848
0,baseline_plus_trend,trend_6,0.2535791519080451
0,baseline_plus_trend,trend_10,0.2614100428286465
1,baseline,mortgage_avg_ticket_mln_rub_q,0.13977612402246872
1,baseline,subsidized_mortgage_2020_active_q,0.002874979651873385
1,baseline,rgbi_eoq,0.0824974256137426
1,baseline,usd_rub_min_q,0.034355489923895914
1,baseline,key_rate_max_q,0.02202665213847019
1,baseline,mortgage_total_volume_mln_rub_q,0.02384653757130158
1,baseline,mortgage_total_volume_mln_rub_q_log_return_q,0.028112947970144794
1,baseline,imoex_max_q,0.0037676070175500743
1,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.09135845839245296
1,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.00033280496148725626
1,baseline_plus_trend,rgbi_eoq,0.007211917882947349
1,baseline_plus_trend,usd_rub_min_q,0.005764669075273544
1,baseline_plus_trend,key_rate_max_q,0.05032653070440003
1,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.0006349750837724489
1,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,0.03089807892241723
1,baseline_plus_trend,imoex_max_q,6.592965375592803e-05
