index,remaining_lots_start,remaining_lots_end,price_sqm,sold_lots,sold_area_sqm,revenue,escrow_inflow,escrow_release,escrow_balance_end,project_cash_inflow,equity_inflow,project_cash_balance_end,escrow_coverage_ratio,land_cost,smr_cost,design_cost,marketing_cost,other_opex,post_completion_cost,property_tax,vat,profit_tax,total_costs_excl_financing,debt_draw,debt_repayment,debt_outstanding_end,debt_limit,unused_debt_limit,full_rate_annual,interest_payment,line_usage_fee_payment,reserve_fee_payment,total_debt_service_cost,effective_rate_cumulative_annual,net_cash_flow,cfads,debt_service_for_ratio,dscr,iscr,market_log_price,geo_score,quality_score,project_premium_component,lgb_boost,final_log_price_sqm,market_quarterly_shock,project_premium_base,project_premium_path_shift,global_project_premium,final_price_residual_shock,residual_ml_boost,baseline_sales_mu,demand_shift,seasonal_sales_shock,delay_penalty,final_sales_mu,realized_sales_count,cost_index,project_overrun,quarterly_cost_shock,effective_cost_multiplier,effective_key_rate_annual,spread_shock_annual,effective_spread_annual,effective_full_rate_annual,notes,quarter_label,quarter_year,quarter_number
0,14539,12437,171522.5845004557,2102,82608.59999999999,14169240573.964344,14169240573.964344,0.0,14169240573.964344,0.0,7775284800.0,0.0,1.0,9330341760.0,5508370922.41147,1283126403.1029072,708462028.6982173,1833625.4428232324,0.0,0.0,0.0,0.0,16832134739.655418,9216776693.17266,0.0,9216776693.17266,69977563200.0,60760786506.82734,0.22353944688387864,83775861.94181262,0.0,76150891.57543074,159926753.51724336,0.07063239628913538,-9.238719940185547e-07,-16832134739.655418,159926753.51724336,-105.24902412803979,-200.9186697636886,11.96462393528259,-0.11782173240017754,0.20624935798489566,0.010976478260055867,-0.018765027688889102,12.052470224967326,0.00911187240257466,-0.003922815940821282,0.014899294200877149,0.0,0.007207213528851339,-0.018765027688889102,1763.2134924170646,0.06517464834178555,0.016277200808849663,0.0,1976.6859240977255,2102,0.9168127214116162,0.9120223951877731,0.005238675849697776,0.9168127214116162,0.19267146855096587,-0.004132021667087222,0.03086797833291278,0.22353944688387864,"{'current_key_rate': 0.19267146855096587, 'effective_spread_annual': 0.03086797833291278, 'spread_shock_annual': -0.004132021667087222, 'profit_before_tax_accum': -2662894165.6910744, 'cash_before_costs': 7775284800.0, 'operating_funding_gap': 9056849939.655418, 'financing_funding_gap': 159926753.51724336, 'debt_before_repayment': 9216776693.17266, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': 0.00911187240257466, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': 0.007207213528851339, 'baseline_sales_mu': 1763.2134924170646, 'demand_shift': 0.06517464834178555, 'seasonal_sales_shock': 0.016277200808849663, 'delay_penalty': 0.0, 'final_sales_mu': 1976.6859240977255, 'realized_sales_count': 2102.0, 'cost_index': 0.9168127214116162, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': 0.005238675849697776, 'effective_cost_multiplier': 0.9168127214116162, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 12.49518811517717, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",2Q2016,2016,2
1,12437,5466,113703.37086373505,6971,273960.3,31150209592.84011,31150209592.84011,0.0,45319450166.80446,0.0,0.0,0.0,1.0,0.0,5438894476.567193,844628318.7139641,1557510479.6420057,1810498.1370242198,0.0,0.0,0.0,0.0,7842843773.060187,8066792690.7900505,0.0,17283569383.96271,69977563200.0,52693993816.03729,0.2301927602347994,157801489.31265384,0.0,66147428.41720894,223948917.72986278,0.0587944182779855,3.8743019104003906e-07,-7842843773.060187,223948917.72986278,-35.02068173654037,-49.700695520820304,11.82532093488031,-0.11782173240017754,-0.04995044919081038,0.010976478260055867,-0.03297433822401378,11.641348326297713,-0.013078719151309344,-0.003922815940821282,0.014899294200877149,0.0,0.005797432972349198,-0.03297433822401378,2716.3384953939635,0.06517464834178555,-0.013604462324691827,0.0,2875.942299611829,6971,0.90524906851211,0.9120223951877731,-0.005103538377418474,0.90524906851211,0.2030455988984736,-0.00785283866367421,0.027147161336325793,0.2301927602347994,"{'current_key_rate': 0.2030455988984736, 'effective_spread_annual': 0.027147161336325793, 'spread_shock_annual': -0.00785283866367421, 'profit_before_tax_accum': 20644471654.088852, 'cash_before_costs': 0.0, 'operating_funding_gap': 7842843773.060187, 'financing_funding_gap': 223948917.72986278, 'debt_before_repayment': 17283569383.96271, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': -0.013078719151309344, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': 0.005797432972349198, 'baseline_sales_mu': 2716.3384953939635, 'demand_shift': 0.06517464834178555, 'seasonal_sales_shock': -0.013604462324691827, 'delay_penalty': 0.0, 'final_sales_mu': 2875.942299611829, 'realized_sales_count': 6971.0, 'cost_index': 0.90524906851211, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': -0.005103538377418474, 'effective_cost_multiplier': 0.90524906851211, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 11.607044025987902, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",3Q2016,2016,3
2,5466,4038,99480.01060024212,1428,56120.399999999994,5582857986.889828,5582857986.889828,0.0,50902308153.69429,0.0,0.0,0.0,1.0,0.0,5482763944.04756,0.0,279142899.3444914,1825101.3968388098,0.0,0.0,0.0,0.0,5763731944.78889,6035582309.418902,0.0,23319151693.381615,69977563200.0,46658411506.618385,0.2362886771450194,213187537.2909523,0.0,58662827.3390605,271850364.6300128,0.053350344185664395,-2.980232238769531e-07,-5763731944.78889,271850364.6300128,-21.201854750621006,-27.03597038565492,11.70078123549798,-0.11782173240017754,-0.04995044919081038,0.010976478260055867,-0.03297433822401378,11.50771200447385,-0.006112912467107804,-0.003922815940821282,0.014899294200877149,0.0,-0.0032991894691827657,-0.03297433822401378,2383.8484545502165,0.06517464834178555,0.013246069390228696,0.0,2484.871174792806,1428,0.912550698419405,0.9120223951877731,0.0052808736477020024,0.912550698419405,0.1998265875012835,0.0014620896437359115,0.036462089643735915,0.2362886771450194,"{'current_key_rate': 0.1998265875012835, 'effective_spread_annual': 0.036462089643735915, 'spread_shock_annual': 0.0014620896437359115, 'profit_before_tax_accum': 20463597696.18979, 'cash_before_costs': 0.0, 'operating_funding_gap': 5763731944.78889, 'financing_funding_gap': 271850364.6300128, 'debt_before_repayment': 23319151693.381615, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': -0.006112912467107804, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': -0.0032991894691827657, 'baseline_sales_mu': 2383.8484545502165, 'demand_shift': 0.06517464834178555, 'seasonal_sales_shock': 0.013246069390228696, 'delay_penalty': 0.0, 'final_sales_mu': 2484.871174792806, 'realized_sales_count': 1428.0, 'cost_index': 0.912550698419405, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': 0.0052808736477020024, 'effective_cost_multiplier': 0.912550698419405, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 11.607044025987902, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",4Q2016,2016,4
3,4038,4012,91752.02837649097,26,1021.8,93752222.59509847,93752222.59509847,0.0,50996060376.28939,0.0,0.0,0.0,1.0,0.0,5516624609.463323,0.0,4687611.129754923,1836372.9285660319,0.0,0.0,0.0,0.0,5523148593.521644,5841358949.81687,0.0,29160510643.198486,69977563200.0,40817052556.80151,0.22031529724799104,266791277.65385514,0.0,51419078.64137093,318210356.2952261,0.04994156823604043,0.0,-5523148593.521644,318210356.2952261,-17.35691024586714,-20.70213330095289,11.621154190597741,-0.11782173240017754,-0.04995044919081038,0.010976478260055867,-0.03297433822401378,11.426844873318124,0.0023423698805984192,-0.003922815940821282,0.014899294200877149,0.0,-0.004539275724670444,-0.03297433822401378,2583.685689176598,0.06517464834178555,-0.03712613356074031,0.0,2525.7355762086686,26,0.918186464283016,0.9120223951877731,0.013788607812443166,0.918186464283016,0.196563235001028,-0.011247937753036966,0.023752062246963038,0.22031529724799104,"{'current_key_rate': 0.196563235001028, 'effective_spread_annual': 0.023752062246963038, 'spread_shock_annual': -0.011247937753036966, 'profit_before_tax_accum': 15034201325.263245, 'cash_before_costs': 0.0, 'operating_funding_gap': 5523148593.521644, 'financing_funding_gap': 318210356.2952261, 'debt_before_repayment': 29160510643.198486, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': 0.0023423698805984192, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': -0.004539275724670444, 'baseline_sales_mu': 2583.685689176598, 'demand_shift': 0.06517464834178555, 'seasonal_sales_shock': -0.03712613356074031, 'delay_penalty': 0.0, 'final_sales_mu': 2525.7355762086686, 'realized_sales_count': 26.0, 'cost_index': 0.918186464283016, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': 0.013788607812443166, 'effective_cost_multiplier': 0.918186464283016, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 11.607044025987902, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",1Q2017,2017,1
4,4012,3937,78042.64927201551,75,2947.5,230030708.72926572,230030708.72926572,0.0,51226091085.018654,0.0,0.0,0.0,1.0,0.0,5406397750.0231285,0.0,11501535.436463287,1799680.6330037066,0.0,0.0,0.0,0.0,5419698966.092595,5783812596.966924,0.0,34944323240.16541,69977563200.0,35033239959.83459,0.22748854959852877,319866938.8859425,0.0,44246691.98838615,364113630.8743287,0.04753865226437036,-5.960464477539063e-08,-5419698966.092595,364113630.8743287,-14.88463629630819,-16.94360469065276,11.47536350008885,-0.11782173240017754,-0.07468964431906286,0.010976478260055867,-0.03297433822401378,11.265010741777646,-0.010629996994034935,-0.003922815940821282,0.014899294200877149,0.0,0.004156478371994861,-0.03297433822401378,3287.7553433835114,0.06517464834178555,0.017520607520360804,0.0,3615.4539839032996,75,0.8998403165018533,0.9120223951877731,-0.004043672981289308,0.8998403165018533,0.19797441573127972,-0.005485866132750962,0.02951413386724904,0.22748854959852877,"{'current_key_rate': 0.19797441573127972, 'effective_spread_annual': 0.02951413386724904, 'spread_shock_annual': -0.005485866132750962, 'profit_before_tax_accum': 9844533067.899916, 'cash_before_costs': 0.0, 'operating_funding_gap': 5419698966.092595, 'financing_funding_gap': 364113630.8743287, 'debt_before_repayment': 34944323240.16541, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': -0.010629996994034935, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': 0.004156478371994861, 'baseline_sales_mu': 3287.7553433835114, 'demand_shift': 0.06517464834178555, 'seasonal_sales_shock': 0.017520607520360804, 'delay_penalty': 0.0, 'final_sales_mu': 3615.4539839032996, 'realized_sales_count': 75.0, 'cost_index': 0.8998403165018533, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': -0.004043672981289308, 'effective_cost_multiplier': 0.8998403165018533, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 11.607044025987902, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",2Q2017,2017,2
5,3937,3232,63710.318256304505,705,27706.499999999996,1765189932.7683005,1765189932.7683005,0.0,52991281017.78696,0.0,0.0,0.0,1.0,0.0,5423797961.471157,0.0,88259496.63841504,1805472.8120110782,0.0,0.0,0.0,0.0,5513862930.921583,5925000374.290279,0.0,40869323614.45569,69977563200.0,29108239585.54431,0.2310257103671211,374238222.0825547,0.0,36899221.286141254,411137443.368696,0.04571710409498152,2.384185791015625e-07,-5513862930.921583,411137443.368696,-13.411240011960947,-14.733564359722878,11.27333191531122,-0.11782173240017754,-0.07856549421376241,0.010976478260055867,-0.03297433822401378,11.062101810488176,-0.012528198016348793,-0.003922815940821282,0.014899294200877149,0.0,0.007154981754855805,-0.03297433822401378,4758.842079985104,0.06517464834178555,0.013103398487622242,0.0,5494.988342245604,705,0.9027364060055392,0.9120223951877731,0.001520495024358809,0.9027364060055392,0.1995108296496898,-0.0034851192825687133,0.03151488071743129,0.2310257103671211,"{'current_key_rate': 0.1995108296496898, 'effective_spread_annual': 0.03151488071743129, 'spread_shock_annual': -0.0034851192825687133, 'profit_before_tax_accum': 6095860069.746634, 'cash_before_costs': 0.0, 'operating_funding_gap': 5513862930.921583, 'financing_funding_gap': 411137443.368696, 'debt_before_repayment': 40869323614.45569, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': -0.012528198016348793, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': 0.007154981754855805, 'baseline_sales_mu': 4758.842079985104, 'demand_shift': 0.06517464834178555, 'seasonal_sales_shock': 0.013103398487622242, 'delay_penalty': 0.0, 'final_sales_mu': 5494.988342245604, 'realized_sales_count': 705.0, 'cost_index': 0.9027364060055392, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': 0.001520495024358809, 'effective_cost_multiplier': 0.9027364060055392, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 11.607044025987902, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",3Q2017,2017,3
6,3232,0,57493.89840103278,3232,127017.59999999999,7302736989.54302,7302736989.54302,0.0,60294018007.32998,0.0,0.0,0.0,1.0,0.0,5398485829.702923,0.0,365136849.47715104,1797046.91450416,0.0,0.0,0.0,0.0,5765419726.094578,6225969626.81898,0.0,47095293241.274666,69977563200.0,22882269958.725334,0.22709562726743582,431371375.9000899,0.0,29178524.824312173,460549900.72440207,0.04426574713505094,3.5762786865234375e-07,-5765419726.094578,460549900.72440207,-12.51855600669137,-13.365327530285432,11.180412783981161,-0.11782173240017754,-0.07688206260178171,0.010976478260055867,-0.03297433822401378,10.959434106390225,-0.012732024319914373,-0.003922815940821282,0.014899294200877149,0.0,-0.004277022625019559,-0.03297433822401378,4227.928684712042,0.06517464834178555,-0.03861616942238008,0.0,4350.772965785574,3294,0.8985234572520799,0.9120223951877731,-0.0008064057239952922,0.8985234572520799,0.20383957870757446,-0.011743951440138654,0.02325604855986135,0.22709562726743582,"{'current_key_rate': 0.20383957870757446, 'effective_spread_annual': 0.02325604855986135, 'spread_shock_annual': -0.011743951440138654, 'profit_before_tax_accum': 7633177333.195076, 'cash_before_costs': 0.0, 'operating_funding_gap': 5765419726.094578, 'financing_funding_gap': 460549900.72440207, 'debt_before_repayment': 47095293241.274666, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': -0.012732024319914373, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': -0.004277022625019559, 'baseline_sales_mu': 4227.928684712042, 'demand_shift': 0.06517464834178555, 'seasonal_sales_shock': -0.03861616942238008, 'delay_penalty': 0.0, 'final_sales_mu': 4350.772965785574, 'realized_sales_count': 3294.0, 'cost_index': 0.8985234572520799, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': -0.0008064057239952922, 'effective_cost_multiplier': 0.8985234572520799, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 11.607044025987902, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",4Q2017,2017,4
7,0,0,52152.23233077738,0,0.0,0.0,0.0,0.0,60294018007.32998,0.0,0.0,0.0,1.0,0.0,5415134964.937807,0.0,0.0,1802589.0754075735,0.0,0.0,0.0,0.0,5416937554.013215,5924507354.375518,0.0,53019800595.650185,69977563200.0,16957762604.349815,0.2335201772888656,485738134.8564129,0.0,21831665.50589015,507569800.362303,0.04309911782292287,-2.384185791015625e-07,-5416937554.013215,507569800.362303,-10.67230073606942,-11.151970918681306,11.069869703499288,-0.11782173240017754,-0.07347548427962747,0.010976478260055867,-0.015477995413731216,10.861922265472067,0.007836846627594027,-0.003922815940821282,0.014899294200877149,0.0,-0.012148704193739234,-0.015477995413731216,0.0,0.0,0.0,0.0,0.0,0,0.9012945377037868,0.9120223951877731,0.004623774209142724,0.9012945377037868,0.20186569017093292,-0.003345512882067324,0.03165448711793268,0.2335201772888656,"{'current_key_rate': 0.20186569017093292, 'effective_spread_annual': 0.03165448711793268, 'spread_shock_annual': -0.003345512882067324, 'profit_before_tax_accum': 2216239779.181861, 'cash_before_costs': 0.0, 'operating_funding_gap': 5416937554.013215, 'financing_funding_gap': 507569800.362303, 'debt_before_repayment': 53019800595.650185, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': 0.007836846627594027, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': -0.012148704193739234, 'baseline_sales_mu': 0.0, 'demand_shift': 0.0, 'seasonal_sales_shock': 0.0, 'delay_penalty': 0.0, 'final_sales_mu': 0.0, 'realized_sales_count': 0.0, 'cost_index': 0.9012945377037868, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': 0.004623774209142724, 'effective_cost_multiplier': 0.9012945377037868, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 12.49518811517717, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",1Q2018,2018,1
8,0,0,42575.078471069486,0,0.0,0.0,0.0,0.0,60294018007.32998,0.0,0.0,0.0,1.0,0.0,5310967367.131161,0.0,0.0,1767913.785681001,0.0,0.0,0.0,0.0,5312735280.9168415,5866867521.929378,0.0,58886668117.57956,69977563200.0,11090895082.42044,0.2116737016670788,539575956.8582449,0.0,14556284.15429122,554132241.0125362,0.04214089271355044,-1.1920928955078125e-07,-5312735280.9168415,554132241.0125362,-9.587486321332188,-9.846130490785713,10.94281912136831,-0.11782173240017754,-0.1573960871295159,0.010976478260055867,-0.015477995413731216,10.659024348654722,-0.005897774886580701,-0.003922815940821282,0.014899294200877149,0.0,-0.0040754360302187225,-0.015477995413731216,0.0,0.0,0.0,0.0,0.0,0,0.8839568928405005,0.9120223951877731,-0.012449145316006324,0.8839568928405005,0.18564544887946857,-0.008971747212389764,0.02602825278761024,0.2116737016670788,"{'current_key_rate': 0.18564544887946857, 'effective_spread_annual': 0.02602825278761024, 'spread_shock_annual': -0.008971747212389764, 'profit_before_tax_accum': -3096495501.7349806, 'cash_before_costs': 0.0, 'operating_funding_gap': 5312735280.9168415, 'financing_funding_gap': 554132241.0125362, 'debt_before_repayment': 58886668117.57956, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': -0.005897774886580701, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': -0.0040754360302187225, 'baseline_sales_mu': 0.0, 'demand_shift': 0.0, 'seasonal_sales_shock': 0.0, 'delay_penalty': 0.0, 'final_sales_mu': 0.0, 'realized_sales_count': 0.0, 'cost_index': 0.8839568928405005, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': -0.012449145316006324, 'effective_cost_multiplier': 0.8839568928405005, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 12.49518811517717, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",2Q2018,2018,2
9,0,0,40597.61207806605,0,0.0,0.0,0.0,0.0,60294018007.32998,0.0,0.0,0.0,0.938471441465986,0.0,5358594261.415009,0.0,0.0,1783767.817000171,0.0,0.0,0.0,0.0,5360378029.232009,6150705461.789185,0.0,65037373579.368744,69977563200.0,4940189620.631256,0.22812346557437144,783164286.2406899,0.0,7163146.316485539,790327432.5571754,0.04335198381284647,2.384185791015625e-07,-5360378029.232009,790327432.5571754,-6.782477500354536,-6.844512860721287,10.84377456461736,-0.11782173240017754,-0.11815810460266517,0.010976478260055867,-0.009029785365053028,10.611464528048925,0.006392594608956358,-0.003922815940821282,0.014899294200877149,0.0,0.0017231075394050577,-0.009029785365053028,0.0,0.0,0.0,0.0,0.0,0,0.8918839085000855,0.9120223951877731,-0.0011705784596230556,0.8918839085000855,0.19930259220911067,-0.0061791266347392335,0.02882087336526077,0.22812346557437144,"{'current_key_rate': 0.19930259220911067, 'effective_spread_annual': 0.02882087336526077, 'spread_shock_annual': -0.0061791266347392335, 'profit_before_tax_accum': -8456873530.9669895, 'cash_before_costs': 0.0, 'operating_funding_gap': 5360378029.232009, 'financing_funding_gap': 790327432.5571754, 'debt_before_repayment': 65037373579.368744, 'liquidity_shortfall': -0.0, 'market_quarterly_shock': 0.006392594608956358, 'market_regime_shift_log': 0.0045707561963164705, 'macro_shift_annual': -0.009580287444065635, 'project_premium_base': -0.003922815940821282, 'project_premium_path_shift': 0.014899294200877149, 'global_project_premium': 0.0, 'final_price_residual_shock': 0.0017231075394050577, 'baseline_sales_mu': 0.0, 'demand_shift': 0.0, 'seasonal_sales_shock': 0.0, 'delay_penalty': 0.0, 'final_sales_mu': 0.0, 'realized_sales_count': 0.0, 'cost_index': 0.8918839085000855, 'project_overrun': 0.9120223951877731, 'quarterly_cost_shock': -0.0011705784596230556, 'effective_cost_multiplier': 0.8918839085000855, 'rvz_delay_quarters': 0.0, 'cost_timing_shift_quarters': 0.0, 'knn_mean_1000m': 12.49518811517717, 'h3_enc_r8': -0.1740069519483559, 'lgb_missing_feature_count': 0.0}",3Q2018,2018,3
