index,quarter_label,quarter_year,quarter_number,remaining_lots_start,remaining_lots_end,price_sqm,sold_lots,sold_area_sqm,revenue,escrow_inflow,escrow_release,escrow_balance_end,project_cash_inflow,equity_inflow,project_cash_balance_end,escrow_coverage_ratio,land_cost,smr_cost,design_cost,marketing_cost,other_opex,post_completion_cost,property_tax,vat,profit_tax,total_costs_excl_financing,debt_draw,debt_repayment,debt_outstanding_end,debt_limit,unused_debt_limit,full_rate_annual,interest_payment,line_usage_fee_payment,reserve_fee_payment,total_debt_service_cost,effective_rate_cumulative_annual,net_cash_flow,cfads,debt_service_for_ratio,dscr,iscr,market_log_price,geo_score,quality_score,project_premium_component,lgb_boost,final_log_price_sqm,market_quarterly_shock,project_premium_base,project_premium_path_shift,global_project_premium,final_price_residual_shock,residual_ml_boost,baseline_sales_mu,demand_shift,seasonal_sales_shock,delay_penalty,final_sales_mu,realized_sales_count,cost_index,project_overrun,quarterly_cost_shock,effective_cost_multiplier,effective_key_rate_annual,spread_shock_annual,effective_spread_annual,effective_full_rate_annual,note_current_key_rate,note_effective_spread_annual,note_spread_shock_annual,note_profit_before_tax_accum,note_cash_before_costs,note_operating_funding_gap,note_financing_funding_gap,note_debt_before_repayment,note_liquidity_shortfall,note_market_quarterly_shock,note_market_regime_shift_log,note_macro_shift_annual,note_project_premium_base,note_project_premium_path_shift,note_global_project_premium,note_final_price_residual_shock,note_baseline_sales_mu,note_demand_shift,note_seasonal_sales_shock,note_delay_penalty,note_final_sales_mu,note_realized_sales_count,note_cost_index,note_project_overrun,note_quarterly_cost_shock,note_effective_cost_multiplier,note_rvz_delay_quarters,note_cost_timing_shift_quarters,note_knn_mean_1000m,note_h3_enc_r8,note_lgb_missing_feature_count
0,2Q2016,2016,2,14539,12644,165492.48892637633,1895,74473.5,12324804874.058487,12324804874.058487,0.0,12324804874.058487,0.0,7775284800.0,0.0,1.0,9330341760.0,6008174618.181818,1399551264.0,616240243.7029244,2000000.0,0.0,0.0,0.0,0.0,17356307885.884743,9745143224.571821,0.0,9745143224.571821,69977563200.0,60232419975.42818,0.245,88624463.54443386,0.0,75495675.14264408,164120138.68707794,0.06851883654423845,2.4437904357910156e-06,-17356307885.884743,164120138.68707794,-105.75367547658122,-195.84104875492721,11.9509413066837,-0.11782173240017754,0.20624935798489566,-0.003922815940821282,-0.018765027688889102,12.016681088638707,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.018765027688889102,1782.4510584514683,0.0,0.0,0.0,1782.4510584514683,1895,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,-5031503011.826256,7775284800.0,9581023085.884743,164120138.68707794,9745143224.571821,-0.0,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,1782.4510584514683,0.0,0.0,0.0,1782.4510584514683,1895.0,1.0,1.0,0.0,1.0,0.0,0.0,12.49518811517717,-0.1740069519483559,0.0
1,3Q2016,2016,3,12644,6019,111598.28097392031,6625,260362.49999999997,29056007430.072323,29056007430.072323,0.0,41380812304.13081,0.0,0.0,0.0,1.0,0.0,6008174618.181818,933034176.0,1452800371.5036163,2000000.0,0.0,0.0,0.0,0.0,8396009165.685434,8628610338.807493,0.0,18373753563.379314,69977563200.0,51603809636.62068,0.245,167805659.6098796,0.0,64795513.51217843,232601173.12205803,0.057242450131745046,8.344650268554688e-07,-8396009165.685434,232601173.12205803,-36.09616001927732,-50.03412390979402,11.82733026110704,-0.11782173240017754,-0.04995044919081038,-0.003922815940821282,-0.03297433822401378,11.622660925351218,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.03297433822401378,2732.4256965878817,0.0,0.0,0.0,2732.4256965878817,6625,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,15628495252.56063,0.0,8396009165.685434,232601173.12205803,18373753563.379314,-0.0,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,2732.4256965878817,0.0,0.0,0.0,2732.4256965878817,6625.0,1.0,1.0,0.0,1.0,0.0,0.0,11.607044025987902,-0.1740069519483559,0.0
2,4Q2016,2016,4,6019,4638,99086.67605488896,1381,54273.299999999996,5377760895.529804,5377760895.529804,0.0,46758573199.660614,0.0,0.0,0.0,1.0,0.0,6008174618.181818,0.0,268888044.7764902,2000000.0,0.0,0.0,0.0,0.0,6279062662.958308,6563757146.76901,0.0,24937510710.148323,69977563200.0,45040052489.85168,0.245,228038550.093623,0.0,56655933.71707797,284694483.810701,0.052041310058103654,3.5762786865234375e-07,-6279062662.958308,284694483.810701,-22.055441956274013,-27.535092905916084,11.708419597538178,-0.11782173240017754,-0.04995044919081038,-0.003922815940821282,-0.03297433822401378,11.503750261782356,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.03297433822401378,2401.6990409905993,0.0,0.0,0.0,2401.6990409905993,1381,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,14727193485.132126,0.0,6279062662.958308,284694483.810701,24937510710.148323,-0.0,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,2401.6990409905993,0.0,0.0,0.0,2401.6990409905993,1381.0,1.0,1.0,0.0,1.0,0.0,0.0,11.607044025987902,-0.1740069519483559,0.0
3,1Q2017,2017,1,4638,4611,91283.1852837923,27,1061.1,96860587.904632,96860587.904632,0.0,46855433787.56525,0.0,0.0,0.0,1.0,0.0,6008174618.181818,0.0,4843029.3952316,2000000.0,0.0,0.0,0.0,0.0,6015017647.577049,6350109828.438852,0.0,31287620538.587173,69977563200.0,38689942661.41283,0.245,286310887.30895966,0.0,48781293.55284329,335092180.86180294,0.04879578682995498,1.1920928955078125e-07,-6015017647.577049,335092180.86180294,-17.950337223946544,-21.008693396581215,11.626391215430004,-0.11782173240017754,-0.04995044919081038,-0.003922815940821282,-0.03297433822401378,11.421721879674182,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.03297433822401378,2614.7845708801237,0.0,0.0,0.0,2614.7845708801237,27,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,8809036425.45971,0.0,6015017647.577049,335092180.86180294,31287620538.587173,-0.0,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,2614.7845708801237,0.0,0.0,0.0,2614.7845708801237,27.0,1.0,1.0,0.0,1.0,0.0,0.0,11.607044025987902,-0.1740069519483559,0.0
4,2Q2017,2017,2,4611,3826,78041.69885958261,785,30850.499999999996,2407625430.667553,2407625430.667553,0.0,49263059218.2328,0.0,0.0,0.0,1.0,0.0,6008174618.181818,0.0,120381271.53337765,2000000.0,0.0,0.0,0.0,0.0,6130555889.715196,6517373255.141615,0.0,37804993793.72879,69977563200.0,32172569406.27121,0.245,346118131.9617969,0.0,40699233.46462204,386817365.4264189,0.046488624695344836,3.5762786865234375e-07,-6130555889.715196,386817365.4264189,-15.848709074777464,-17.712322249537223,11.494407094471605,-0.11782173240017754,-0.07468964431906286,-0.003922815940821282,-0.03297433822401378,11.264998563587529,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.03297433822401378,3322.2444572253785,0.0,0.0,0.0,3322.2444572253785,785,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,5086105966.412066,0.0,6130555889.715196,386817365.4264189,37804993793.72879,-0.0,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,3322.2444572253785,0.0,0.0,0.0,3322.2444572253785,785.0,1.0,1.0,0.0,1.0,0.0,0.0,11.607044025987902,-0.1740069519483559,0.0
5,3Q2017,2017,3,3826,3598,64367.148920137144,228,8960.4,576755401.1839968,576755401.1839968,0.0,49839814619.4168,0.0,0.0,0.0,1.0,0.0,6008174618.181818,0.0,28837770.05919984,2000000.0,0.0,0.0,0.0,0.0,6039012388.241018,6477236391.696776,0.0,44282230185.42557,69977563200.0,25695333014.574432,0.245,405557057.18322074,0.0,32666946.272537738,438224003.45575845,0.04475491031296796,-3.5762786865234375e-07,-6039012388.241018,438224003.45575845,-13.780651768543974,-14.890660343046973,11.305643052785125,-0.11782173240017754,-0.07856549421376241,-0.003922815940821282,-0.03297433822401378,11.07235867200635,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.03297433822401378,4732.817079278293,0.0,0.0,0.0,4732.817079278293,228,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,-376151020.6449547,0.0,6039012388.241018,438224003.45575845,44282230185.42557,-0.0,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,4732.817079278293,0.0,0.0,0.0,4732.817079278293,228.0,1.0,1.0,0.0,1.0,0.0,0.0,11.607044025987902,-0.1740069519483559,0.0
6,4Q2017,2017,4,3598,3254,59417.60093298395,344,13519.199999999999,803278430.5331966,803278430.5331966,0.0,50643093049.95,0.0,0.0,0.0,1.0,0.0,6008174618.181818,0.0,40163921.52665983,2000000.0,0.0,0.0,0.0,0.0,6050338539.708478,6540471043.50955,0.0,50822701228.93512,69977563200.0,19154861971.06488,0.245,465576260.7074899,0.0,24556243.09358244,490132503.80107236,0.04339581624601243,-2.384185791015625e-07,-6050338539.708478,490132503.80107236,-12.344291579903256,-12.99537594660514,11.223946722628895,-0.11782173240017754,-0.07688206260178171,-0.003922815940821282,-0.03297433822401378,10.992345773462102,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.03297433822401378,4222.320902938959,0.0,0.0,0.0,4222.320902938959,344,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,-5623211129.820236,0.0,6050338539.708478,490132503.80107236,50822701228.93512,-0.0,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,4222.320902938959,0.0,0.0,0.0,4222.320902938959,344.0,1.0,1.0,0.0,1.0,0.0,0.0,11.607044025987902,-0.1740069519483559,0.0
7,1Q2018,2018,1,3254,2479,53735.36531938666,775,30457.499999999996,1636644889.215219,1636644889.215219,0.0,52279737939.165215,0.0,0.0,0.0,0.9185628757867885,0.0,6008174618.181818,0.0,81832244.46076095,2000000.0,0.0,0.0,0.0,0.0,6092006862.642579,6875814929.30065,0.0,57698516158.23577,69977563200.0,12279047041.764229,0.245,767479497.772543,0.0,16328568.885527879,783808066.6580708,0.04584350402509952,-2.384185791015625e-07,-6092006862.642579,783808066.6580708,-7.772319681037631,-7.937680264193924,11.10252466382352,-0.11782173240017754,-0.07347548427962747,-0.003922815940821282,-0.015477995413731216,10.891826635789162,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.015477995413731216,4668.174126474318,0.0,0.0,0.0,4668.174126474318,775,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,-10078573103.247597,0.0,6092006862.642579,783808066.6580708,57698516158.23577,-0.0,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,4668.174126474318,0.0,0.0,0.0,4668.174126474318,775.0,1.0,1.0,0.0,1.0,0.0,0.0,12.49518811517717,-0.1740069519483559,0.0
8,2Q2018,2018,2,2479,1515,43910.72209348042,964,37885.2,1663566488.6559243,1663566488.6559243,0.0,53943304427.82114,0.0,0.0,0.0,0.845614107066539,0.0,6008174618.181818,0.0,83178324.43279622,2000000.0,0.0,0.0,0.0,0.0,6093352942.6146145,7203285212.418939,0.0,64901801370.65471,69977563200.0,5075761829.345291,0.245,1102200152.180387,0.0,7732117.623937015,1109932269.8043242,0.050358271684967,0.0,-6093352942.6146145,1109932269.8043242,-5.4898421357627925,-5.528354292603447,10.984532439157457,-0.11782173240017754,-0.1573960871295159,-0.003922815940821282,-0.015477995413731216,10.68991380827321,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.015477995413731216,5875.783920686676,0.0,0.0,0.0,5875.783920686676,964,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,-14508359557.206287,0.0,6093352942.6146145,1109932269.8043242,64901801370.65471,-0.0,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,5875.783920686676,0.0,0.0,0.0,5875.783920686676,964.0,1.0,1.0,0.0,1.0,0.0,0.0,12.49518811517717,-0.1740069519483559,0.0
9,3Q2018,2018,3,1515,0,41462.64078865194,1515,59539.49999999999,2468664901.235942,2468664901.235942,0.0,56411969329.057076,0.0,0.0,-2410549374.7873564,0.8061436659037174,0.0,6008174618.181818,0.0,123433245.0617971,2000000.0,0.0,0.0,0.0,0.0,6133607863.243615,5075761829.345291,0.0,69977563200.0,69977563200.0,0.0,0.245,1352703340.8890321,0.0,0.0,1352703340.8890321,0.05501023025672797,-2410549374.7873564,-6133607863.243615,1352703340.8890321,-4.534333344081524,-4.534333344081524,10.88148051712418,-0.11782173240017754,-0.11815810460266517,-0.003922815940821282,-0.009029785365053028,10.632548078815462,0.0,-0.003922815940821282,0.0,0.0,0.0,-0.009029785365053028,7786.115774617107,0.0,0.0,0.0,7786.115774617107,36544,1.0,1.0,0.0,1.0,0.21,0.0,0.035,0.245,0.21,0.035,0.0,-18173302519.21396,0.0,6133607863.243615,2410549374.7873564,69977563200.0,2410549374.7873564,0.0,0.0,0.0,-0.003922815940821282,0.0,0.0,0.0,7786.115774617107,0.0,0.0,0.0,7786.115774617107,36544.0,1.0,1.0,0.0,1.0,0.0,0.0,12.49518811517717,-0.1740069519483559,0.0
