project_name,scenario_name,total_revenue,total_costs_excl_financing,total_interest_and_fees,total_debt_service_for_ratio,total_cfads,total_net_cash_flow,ending_escrow_balance,ending_project_cash_balance,peak_debt,ending_debt,min_dscr,min_iscr,max_liquidity_shortfall,final_effective_rate_annual,collateral_value_net,collateral_coverage_ratio,repaid_at_rvz,debt_fully_repaid,driver_summary
Люблинский парк,lublyanskiy_park_1,46825553270.58007,80121125663.529,12776432816.834032,44457275607.05106,-33295572392.948936,-1.2516975402832031e-06,0.0,0.0,69977563200.0,38296720409.78297,1.3940833286405325,24.586145066261494,13235363412.353989,0.09311565509042714,88726884966.72,1.0721764414696173,True,False,{}
Люблинский парк,lublyanskiy_park_2,60451231441.76159,80802409572.08807,7613699073.985698,57401669869.673515,-20351178130.32649,1.1920928955078125e-07,0.0,0.0,69977563200.0,20189592404.312187,1.1863844772694079,52.02000098397338,9496280055.94683,0.05545294355912402,88726884966.72,1.14351645232182,True,False,{}
Люблинский парк,lublyanskiy_park_3,54370098238.730675,80498352911.93654,9059870502.710817,51624593326.79415,-26128254673.20586,-2.384185791015625e-06,0.0,0.0,69977563200.0,27412840375.916664,1.2344847658354887,36.883392052578195,10326403114.018597,0.0663113488064742,88726884966.72,1.1225931917331073,True,False,{}
Люблинский парк,lublyanskiy_park_4,57672005429.32678,80663448271.46634,8266811612.131751,54761405157.86044,-22991442842.139557,7.748603820800781e-07,0.0,0.0,69977563200.0,23482969654.27131,1.2064722752033807,44.24207483344292,9868969275.03092,0.05987829571765251,88726884966.72,1.1339714219681252,True,False,{}
Люблинский парк,lublyanskiy_park_5,51632963534.31349,80361496176.71567,10754578499.832634,49024315357.597824,-28728532642.402187,-6.3478946685791016e-06,0.0,0.0,69977563200.0,31707826342.23481,1.295032643872889,32.340009387817254,11761815156.836056,0.07895268284654726,88726884966.72,1.0990280091492226,True,False,{}
Люблинский парк,lublyanskiy_park_6,46348440211.1074,80097270010.55537,13062284494.7889,44004018200.55203,-33748829799.447968,-4.649162292480469e-06,0.0,0.0,69977563200.0,39035829494.23687,1.413073373289053,24.99014565481973,13547237913.954952,0.09555933794903465,88726884966.72,1.0684856418912723,True,False,{}
Люблинский парк,lublyanskiy_park_7,76901789394.90929,81624937469.74547,5507753228.187296,73029699925.16383,-4723148074.83616,-5.0961971282958984e-06,0.0,0.0,69977563200.0,2455616503.0234604,1.1280276902942488,118.7975979859681,8727550238.332764,0.03953444456979708,88726884966.72,1.1754191300387542,True,False,{}
Люблинский парк,lublyanskiy_park_8,53344525781.07721,80447074289.05386,9814233832.670187,50650299492.02335,-27102548507.976646,1.1920928955078125e-07,0.0,0.0,69977563200.0,29141497540.646835,1.2576349495701171,33.83412710546229,10926959400.578918,0.07177005758152194,88726884966.72,1.11198003136076,True,False,{}
Люблинский парк,lublyanskiy_park_9,54852662796.72872,80522481139.83644,8576876298.400865,52083029656.892296,-25669818343.107708,2.086162567138672e-07,0.0,0.0,69977563200.0,26471409841.508568,1.2188721108370657,36.747657083798664,9848960874.619888,0.06304720299357644,88726884966.72,1.129495487884249,True,False,{}
Люблинский парк,lublyanskiy_park_10,51054773750.75078,80332586687.53754,11675776405.741016,48475035063.21324,-29277812936.78676,-7.748603820800781e-07,0.0,0.0,69977563200.0,33178304542.52777,1.3254283996334513,29.742013381943675,12534095525.605873,0.08569259790875579,88726884966.72,1.0866289780079204,True,False,{}
Люблинский парк,lublyanskiy_park_11,67668454879.864685,81163270743.99323,5823765703.547821,64258032135.87145,-13494815864.128548,2.7418136596679688e-06,0.0,0.0,69977563200.0,11543296767.676369,1.1428316348005327,87.58138314868641,8456610389.884747,0.042371555691915315,88726884966.72,1.1705188583120898,True,False,{}
Люблинский парк,lublyanskiy_park_12,60794737882.17313,80819584894.10866,7389141566.791083,57728000988.06449,-20024847011.93552,1.6689300537109375e-06,0.0,0.0,69977563200.0,19638703778.726593,1.181101336699842,53.80432232648837,9321048453.687729,0.05377003238869559,88726884966.72,1.1468355183818708,True,False,{}
Люблинский парк,lublyanskiy_park_13,53419074606.609566,80450801730.33047,11028790320.461887,50721120876.27909,-27031727123.72091,-1.9073486328125e-06,0.0,0.0,69977563200.0,30285232644.1828,1.2943654267385392,33.929198260295465,12147463568.335003,0.08023453828917153,88726884966.72,1.0953077272427518,True,False,{}
Люблинский парк,lublyanskiy_park_14,50871101285.311615,80323403064.26558,10920160221.118572,48300546221.04604,-29452301778.953964,-2.086162567138672e-06,0.0,0.0,69977563200.0,32597177200.072533,1.304202720744342,31.373706604782523,11864418129.58179,0.07942900741576277,88726884966.72,1.0967785150744749,True,False,{}
Люблинский парк,lublyanskiy_park_15,46713208664.616936,80115508433.23085,16164733900.910873,44350548231.38607,-33402299768.613914,7.510185241699219e-06,0.0,0.0,69977563200.0,41791748869.5248,1.5505733553874463,24.109066836730573,16585023262.049625,0.11487803137117832,88726884966.72,1.0300037026268458,True,False,{}
