quarter,sold_lots,price_sqm,revenue,debt_outstanding_end,project_cash_balance_end,dscr,iscr,remaining_lots_end
2Q2016,1,212469.31297709924,8350043.999999999,9590150116.756727,0.0,-26.786928941129613,-30.51023069299621,14538
3Q2016,0,212469.31297709924,0.0,17612398197.306858,0.0,-6.434620946518406,-6.8592920031295606,14538
4Q2016,0,212469.31297709924,0.0,25126964936.129997,0.0,-3.995085148159169,-4.15512554075822,14538
1Q2017,0,212469.31297709924,0.0,33092405679.282524,0.0,-3.0738396893526985,-3.1521085958695956,14538
2Q2017,0,212469.31297709924,0.0,41535772867.0242,0.0,-2.4700776639594118,-2.5098878841198213,14538
3Q2017,0,212469.31297709924,0.0,50485742086.03038,0.0,-2.0444199116824273,-2.0641071967304265,14538
4Q2017,0,212469.31297709924,0.0,59972709458.176926,0.0,-1.7286548389541383,-1.737074460669042,14538
1Q2018,0,212469.31297709924,0.0,69977563200.0,-51331672.65226555,-1.4854568909424632,-1.4872924198991468,14538
2Q2018,0,212469.31297709924,0.0,69977563200.0,-10347197834.546083,-1.4023815192672917,-1.4023815192672917,14538
3Q2018,186,141862.7180683466,1036988096.536,69977563200.0,-20640990020.24683,-1.432503811634174,-1.432503811634174,14352
4Q2018,425,160359.91275389912,2678411442.772,69977563200.0,-30877575978.235233,-1.501309480979354,-1.501309480979354,13927
1Q2019,277,164801.543373017,1794046081.313,69977563200.0,-29453682989.119595,1.3560444231012716,1.3560444231012716,13650
