quarter,deal_count,unique_lots,total_revenue,total_area,avg_price_sqm,engine_price_sqm,engine_sales_count,engine_revenue
2016Q2,1,1,8350044.0,76.0,109869.0,212469.31297709924,1,8350043.999999999
2016Q3,0,0,0.0,0.0,109869.0,212469.31297709924,0,0.0
2016Q4,0,0,0.0,0.0,109869.0,212469.31297709924,0,0.0
2017Q1,0,0,0.0,0.0,109869.0,212469.31297709924,0,0.0
2017Q2,0,0,0.0,0.0,109869.0,212469.31297709924,0,0.0
2017Q3,0,0,0.0,0.0,109869.0,212469.31297709924,0,0.0
2017Q4,0,0,0.0,0.0,109869.0,212469.31297709924,0,0.0
2018Q1,0,0,0.0,0.0,109869.0,212469.31297709924,0,0.0
2018Q2,0,0,0.0,0.0,109869.0,212469.31297709924,0,0.0
2018Q3,186,186,1036988096.536,8825.8,121252.4559139785,141862.7180683466,186,1036988096.536
2018Q4,425,425,2678411442.772,21352.7,127846.71411764706,160359.91275389912,425,2678411442.772
2019Q1,277,277,1794046081.313,13214.4,137714.11953068592,164801.543373017,277,1794046081.313
