index,quarter_label,quarter_year,quarter_number,remaining_lots_start,remaining_lots_end,price_sqm,sold_lots,sold_area_sqm,revenue,escrow_inflow,escrow_release,escrow_balance_end,project_cash_inflow,equity_inflow,project_cash_balance_end,escrow_coverage_ratio,land_cost,smr_cost,design_cost,marketing_cost,other_opex,post_completion_cost,property_tax,vat,profit_tax,total_costs_excl_financing,debt_draw,debt_repayment,debt_outstanding_end,debt_limit,unused_debt_limit,full_rate_annual,interest_payment,line_usage_fee_payment,reserve_fee_payment,total_debt_service_cost,effective_rate_cumulative_annual,net_cash_flow,cfads,debt_service_for_ratio,dscr,iscr,note_current_key_rate,note_profit_before_tax_accum,note_cash_before_costs,note_operating_funding_gap,note_financing_funding_gap,note_debt_before_repayment,note_liquidity_shortfall
0,1Q2026,2026,1,221,188,210000.0,33,1659.57,348509700.0,348509700.0,0.0,348509700.0,0.0,59256018.0,0.0,1.0,125637000.0,0.0,0.0,15682936.5,2000000.0,0.0,0.0,0.0,0.0,143319936.5,85558226.177375,0.0,85558226.177375,741500982.0,655942755.822625,0.21,672511.348,0.0,821796.329375,1494307.677375,0.07110340341201202,1.862645149230957e-08,-143319936.5,1494307.677375,-95.91059369497808,-213.11155109311255,0.18,205189763.5,59256018.0,84063918.5,1494307.677375,85558226.177375,-0.0
1,2Q2026,2026,2,188,160,210000.0,28,1408.12,295705200.0,295705200.0,0.0,644214900.0,0.0,0.0,0.0,1.0,0.0,239040980.0,0.0,13306734.0,2000000.0,0.0,0.0,0.0,0.0,254347714.0,257568955.32369727,0.0,343127181.5010723,741500982.0,398373800.4989277,0.21,2719247.5214190003,0.0,501993.80227828125,3221241.3236972815,0.04448947399971313,-1.257285475730896e-08,-254347714.0,3221241.3236972815,-78.95953405566782,-93.53606539917789,0.18,246547249.5,0.0,254347714.0,3221241.3236972815,343127181.5010723,-0.0
2,3Q2026,2026,3,160,138,210000.0,22,1106.3799999999999,232339799.99999997,232339799.99999997,0.0,876554700.0,0.0,0.0,0.0,1.0,0.0,109139550.0,0.0,10455290.999999998,2000000.0,0.0,0.0,0.0,0.0,121594841.0,125658590.87938224,0.0,468785772.38045454,741500982.0,272715209.61954546,0.21,3717776.1800085786,0.0,345973.6993736596,4063749.8793822383,0.039515602950317294,-4.656612873077393e-10,-121594841.0,4063749.8793822383,-29.921831955485548,-32.706337098463905,0.18,357292208.5,0.0,121594841.0,4063749.8793822383,468785772.38045454,-0.0
3,4Q2026,2026,4,138,120,210000.0,18,905.22,190096200.0,190096200.0,0.0,1066650900.0,0.0,0.0,0.0,1.0,0.0,109139550.0,0.0,8554329.0,2000000.0,0.0,0.0,0.0,0.0,119693879.0,124592992.87431806,0.0,593378765.2547727,741500982.0,148122216.74522734,0.21,4707837.211043636,0.0,191276.66327443183,4899113.874318068,0.03703947023966132,-4.6566128730773926e-09,-119693879.0,4899113.874318068,-24.431740529130032,-25.42438781001652,0.18,427694529.5,0.0,119693879.0,4899113.874318068,593378765.2547727,-0.0
4,1Q2027,2027,1,120,107,210000.0,13,653.77,137291700.0,137291700.0,0.0,1203942600.0,0.0,0.0,0.0,1.0,0.0,109139550.0,0.0,6178126.5,2000000.0,0.0,0.0,0.0,0.0,117317676.5,123041753.70934471,0.0,716420518.9641174,741500982.0,25080463.035882592,0.21,5685571.534038181,0.0,38505.67530653417,5724077.209344716,0.035472871657539186,-9.313225746154785e-10,-117317676.5,5724077.209344716,-20.4954741540655,-20.634280264991236,0.18,447668553.0,0.0,117317676.5,5724077.209344716,716420518.9641174,-0.0
5,2Q2027,2027,2,107,97,210000.0,10,502.9,105609000.0,105609000.0,0.0,1309551600.0,0.0,0.0,-96743499.82011741,1.0,0.0,109139550.0,0.0,4752405.0,2000000.0,0.0,0.0,0.0,0.0,115891955.0,25080463.035882592,0.0,741500982.0,741500982.0,0.0,0.21,5932007.856,0.0,0.0,5932007.856,0.03459379572588671,-96743499.82011741,-115891955.0,5932007.856,-19.53671637214366,-19.53671637214366,0.18,437385598.0,0.0,115891955.0,96743499.82011741,741500982.0,96743499.82011741
6,3Q2027,2027,3,97,90,210000.0,7,352.03,73926300.0,73926300.0,0.0,1383477900.0,0.0,0.0,-108002191.17611742,1.0,0.0,0.0,0.0,3326683.5,2000000.0,0.0,0.0,0.0,0.0,5326683.5,0.0,0.0,741500982.0,741500982.0,0.0,0.21,5932007.856,0.0,0.0,5932007.856,0.034069859408291124,-11258691.355999999,-5326683.5,5932007.856,-0.8979562450532265,-0.8979562450532265,0.18,505985214.5,-96743499.82011741,102070183.32011741,108002191.17611742,741500982.0,108002191.17611742
7,4Q2027,2027,4,90,86,210000.0,4,201.16,42243600.0,42243600.0,0.0,1425721500.0,0.0,0.0,-117835161.03211743,1.0,0.0,0.0,0.0,1900962.0,2000000.0,0.0,0.0,0.0,0.0,3900962.0,0.0,0.0,741500982.0,741500982.0,0.0,0.21,5932007.856,0.0,0.0,5932007.856,0.03372201857360882,-9832969.855999999,-3900962.0,5932007.856,-0.6576124129799197,-0.6576124129799197,0.18,544327852.5,-108002191.17611742,111903153.17611742,117835161.03211743,741500982.0,117835161.03211743
8,1Q2028,2028,1,86,83,210000.0,3,150.87,31682700.0,31682700.0,1457404200.0,0.0,1457404200.0,0.0,445564119.8618827,1.0,0.0,0.0,0.0,1425721.5,2000000.0,0.0,0.0,0.0,143146207.75,146571929.25,0.0,741500982.0,0.0,741500982.0,0.0,0.21,5932007.856,0.0,0.0,5932007.856,0.03347426727370167,563399280.894,1310832270.75,747432989.856,1.7537789855951424,220.97615218498794,0.18,572584831.0,1339569038.9678826,0.0,0.0,741500982.0,0.0
9,2Q2028,2028,2,83,81,210000.0,2,100.58,21121800.0,0.0,0.0,0.0,21121800.0,0.0,462808562.63438267,0.0,0.0,0.0,0.0,950481.0,2000000.0,0.0,0.0,0.0,0.0,2950481.0,0.0,0.0,0.0,741500982.0,741500982.0,0.208,0.0,0.0,926876.2275,926876.2275,0.03419363030411296,17244442.7725,18171319.0,926876.2275,19.604903503688146,0.0,0.18,590756150.0,466685919.8618827,0.0,0.0,0.0,0.0
