index,quarter_label,quarter_year,quarter_number,remaining_lots_start,remaining_lots_end,price_sqm,sold_lots,sold_area_sqm,revenue,escrow_inflow,escrow_release,escrow_balance_end,project_cash_inflow,equity_inflow,project_cash_balance_end,escrow_coverage_ratio,land_cost,smr_cost,design_cost,marketing_cost,other_opex,post_completion_cost,property_tax,vat,profit_tax,total_costs_excl_financing,debt_draw,debt_repayment,debt_outstanding_end,debt_limit,unused_debt_limit,full_rate_annual,interest_payment,line_usage_fee_payment,reserve_fee_payment,total_debt_service_cost,effective_rate_cumulative_annual,net_cash_flow,cfads,debt_service_for_ratio,dscr,iscr,note_current_key_rate,note_profit_before_tax_accum,note_cash_before_costs,note_operating_funding_gap,note_financing_funding_gap,note_debt_before_repayment,note_liquidity_shortfall
0,1Q2026,2026,1,221,203,176000.0,18,905.22,159318720.0,159318720.0,0.0,159318720.0,0.0,64921458.0,0.0,1.0,125637000.0,0.0,0.0,8762529.6,3500000.0,0.0,0.0,0.0,0.0,137899529.6,74947099.33549999,0.0,74947099.33549999,812395542.0,737448442.6645,0.265,675047.1623,0.0,1293980.5732,1969027.7355,0.10792435000433748,7.916241884231567e-09,-137899529.6,1969027.7355,-70.03432562872601,-204.28132625600995,0.23,21419190.4,64921458.0,72978071.6,1969027.7355,74947099.33549999,-0.0
1,2Q2026,2026,2,203,183,176000.0,20,1005.8,177020800.0,177020800.0,0.0,336339520.0,0.0,0.0,0.0,0.9492215063915534,0.0,266148720.00000003,0.0,9736144.0,3500000.0,0.0,0.0,0.0,0.0,279384864.0,284489615.19363976,0.0,359436714.52913976,812395542.0,452958827.47086024,0.265,4303139.930976875,0.0,801611.262662875,5104751.19363975,0.06621682947565223,5.587935447692871e-09,-279384864.0,5104751.19363975,-54.730358719167114,-64.92581428477405,0.23,-80944873.60000002,0.0,279384864.0,5104751.19363975,359436714.52913976,-0.0
2,3Q2026,2026,3,183,163,176000.0,20,1005.8,177020800.0,177020800.0,0.0,513360320.0,0.0,0.0,0.0,1.0,0.0,121516200.00000001,0.0,9736144.0,3500000.0,0.0,0.0,0.0,0.0,134752344.0,139880454.13746855,0.0,499317168.66660833,812395542.0,313078373.33339167,0.265,4571248.791394543,0.0,556861.3460740055,5128110.1374685485,0.052965387174638674,-1.862645149230957e-09,-134752344.0,5128110.1374685485,-26.277193817549215,-29.47823453706429,0.23,-38676417.60000004,0.0,134752344.0,5128110.1374685485,499317168.66660833,-0.0
3,4Q2026,2026,4,163,145,176000.0,18,905.22,159318720.0,159318720.0,0.0,672679040.0,0.0,0.0,0.0,1.0,0.0,121516200.00000001,0.0,8762529.6,3500000.0,0.0,0.0,0.0,0.0,133778729.60000001,139948641.03549957,0.0,639265809.7021079,812395542.0,173129732.2978921,0.265,5856137.058966127,0.0,313774.37653343537,6169911.435499563,0.047270962790503836,9.313225746154785e-10,-133778729.60000001,6169911.435499563,-21.682439204926492,-22.844193749730646,0.23,-13136427.200000055,0.0,133778729.60000001,6169911.435499563,639265809.7021079,-0.0
4,1Q2027,2027,1,145,131,176000.0,14,704.06,123914559.99999999,123914559.99999999,0.0,796593600.0,0.0,0.0,0.0,1.0,0.0,121516200.00000001,0.0,6815300.799999999,3500000.0,0.0,0.0,0.0,0.0,131831500.80000001,139036422.82726583,0.0,778302232.5293738,812395542.0,34093309.470626235,0.265,7132650.122144497,0.0,72271.90512131125,7204922.027265809,0.0439898648756113,8.381903171539307e-09,-131831500.80000001,7204922.027265809,-18.29742227620313,-18.48282174821771,0.23,-21053368.000000082,0.0,131831500.80000001,7204922.027265809,778302232.5293738,-0.0
5,2Q2027,2027,2,131,121,176000.0,10,502.9,88510400.0,88510400.0,0.0,885104000.0,0.0,0.0,-103305621.29287378,1.0,0.0,121516200.00000001,0.0,4868072.0,3500000.0,0.0,0.0,0.0,0.0,129884272.00000001,34093309.470626235,0.0,812395542.0,812395542.0,0.0,0.265,7514658.763499999,0.0,0.0,7514658.763499999,0.042180312260771645,-103305621.29287378,-129884272.00000001,7514658.763499999,-17.28412108755629,-17.28412108755629,0.23,-62427240.0000001,0.0,129884272.00000001,103305621.29287378,812395542.0,103305621.29287378
6,3Q2027,2027,3,121,113,176000.0,8,402.32,70808320.0,70808320.0,0.0,955912320.0,0.0,0.0,-118214737.65637378,1.0,0.0,0.0,0.0,3894457.6,3500000.0,0.0,0.0,0.0,0.0,7394457.6,0.0,0.0,812395542.0,812395542.0,0.0,0.265,7514658.763499999,0.0,0.0,7514658.763499999,0.0411150090623113,-14909116.363499999,-7394457.6,7514658.763499999,-0.9840044415477869,-0.9840044415477869,0.23,986622.3999999017,-103305621.29287378,110700078.89287378,118214737.65637378,812395542.0,118214737.65637378
7,4Q2027,2027,4,113,107,176000.0,6,301.74,53106240.0,53106240.0,0.0,1009018560.0,0.0,0.0,-132150239.61987379,1.0,0.0,0.0,0.0,2920843.2,3500000.0,0.0,0.0,0.0,0.0,6420843.2,0.0,0.0,812395542.0,812395542.0,0.0,0.265,7514658.763499999,0.0,0.0,7514658.763499999,0.040413119497641786,-13935501.9635,-6420843.2,7514658.763499999,-0.8544424174238155,-0.8544424174238155,0.23,47672019.1999999,-118214737.65637378,124635580.85637379,132150239.61987379,812395542.0,132150239.61987379
8,1Q2028,2028,1,107,103,176000.0,4,201.16,35404160.0,35404160.0,1044422720.0,0.0,1044422720.0,0.0,61507813.21662629,1.0,0.0,0.0,0.0,1947228.8,3500000.0,6000000.0,0.0,0.0,19407237.599999975,30854466.399999976,0.0,812395542.0,0.0,812395542.0,0.0,0.265,7514658.763499999,0.0,0.0,7514658.763499999,0.03991578020448203,193658052.83650005,1013568253.6,819910200.7635,1.236194223045604,134.87881293067846,0.23,77628950.3999999,912272480.3801262,0.0,0.0,812395542.0,0.0
9,2Q2028,2028,2,103,100,176000.0,3,150.87,26553120.0,0.0,0.0,0.0,26553120.0,0.0,72678819.41812629,0.0,0.0,0.0,0.0,1460421.6,3500000.0,9000000.0,0.0,0.0,0.0,13960421.6,0.0,0.0,0.0,812395542.0,812395542.0,0.265,0.0,0.0,1421692.1985,1421692.1985,0.0409357782017756,11171006.2015,12592698.4,1421692.1985,8.857542028637644,0.0,0.23,99221648.7999999,88060933.21662629,0.0,0.0,0.0,0.0
