index,quarter_label,quarter_year,quarter_number,remaining_lots_start,remaining_lots_end,price_sqm,sold_lots,sold_area_sqm,revenue,escrow_inflow,escrow_release,escrow_balance_end,project_cash_inflow,equity_inflow,project_cash_balance_end,escrow_coverage_ratio,land_cost,smr_cost,design_cost,marketing_cost,other_opex,post_completion_cost,property_tax,vat,profit_tax,total_costs_excl_financing,debt_draw,debt_repayment,debt_outstanding_end,debt_limit,unused_debt_limit,full_rate_annual,interest_payment,line_usage_fee_payment,reserve_fee_payment,total_debt_service_cost,effective_rate_cumulative_annual,net_cash_flow,cfads,debt_service_for_ratio,dscr,iscr,note_current_key_rate,note_profit_before_tax_accum,note_cash_before_costs,note_operating_funding_gap,note_financing_funding_gap,note_debt_before_repayment,note_liquidity_shortfall
0,1Q2026,2026,1,221,195,192459.0,26,1307.54,251647840.85999998,251647840.85999998,0.0,251647840.85999998,0.0,85816024.0,0.0,1.0,125637000.0,0.0,0.0,12582392.043,2500000.0,0.0,0.0,0.0,0.0,140719392.043,56684919.95734401,0.0,56684919.95734401,1073859976.0,1017175056.042656,0.245,507856.1543977501,0.0,1273695.7599462501,1781551.9143440002,0.12979545538617585,-1.7229467630386353e-08,-140719392.043,1781551.9143440002,-78.98697248730777,-277.0851368531204,0.21,110928448.81699999,85816024.0,54903368.04300001,1781551.9143440002,56684919.95734401,-0.0
1,2Q2026,2026,2,195,165,192459.0,30,1508.7,290362893.3,290362893.3,0.0,542010734.16,0.0,0.0,0.0,1.0,0.0,246434000.0,0.0,14518144.665000001,2500000.0,0.0,0.0,0.0,0.0,263452144.665,267355566.15197873,0.0,324040486.1093227,1073859976.0,749819489.8906772,0.245,2961267.847756682,0.0,942153.63922207,3903421.486978752,0.060633178784705234,-1.257285475730896e-08,-263452144.665,3903421.486978752,-67.49262039568059,-88.96599639393614,0.21,137839197.452,0.0,263452144.665,3903421.486978752,324040486.1093227,-0.0
2,3Q2026,2026,3,165,133,192459.0,32,1609.28,309720419.52,309720419.52,0.0,851731153.68,0.0,0.0,0.0,1.0,0.0,112515000.0,0.0,15486020.976,2500000.0,0.0,0.0,0.0,0.0,130501020.976,135479678.00268257,0.0,459520164.1120053,1073859976.0,614339811.8879948,0.245,4204508.940539235,0.0,774148.0861433466,4978657.026682582,0.05141688803500384,-1.1175870895385742e-08,-130501020.976,4978657.026682582,-26.21209299547924,-31.038350214392224,0.21,317058595.99599993,0.0,130501020.976,4978657.026682582,459520164.1120053,-0.0
3,4Q2026,2026,4,133,101,192459.0,32,1609.28,309720419.52,309720419.52,0.0,1161451573.1999998,0.0,0.0,0.0,1.0,0.0,112515000.0,0.0,15486020.976,2500000.0,0.0,0.0,0.0,0.0,130501020.976,136563515.42670405,0.0,596083679.5387094,1073859976.0,477776296.4612906,0.245,5457695.962064049,0.0,604798.4886399934,6062494.450704043,0.04712901679646607,1.0244548320770264e-08,-130501020.976,6062494.450704043,-21.5259613080297,-23.911376134379925,0.21,496277994.5399999,0.0,130501020.976,6062494.450704043,596083679.5387094,-0.0
4,1Q2027,2027,1,101,71,192459.0,30,1508.7,290362893.3,290362893.3,0.0,1451814466.4999998,0.0,0.0,0.0,1.0,0.0,112515000.0,0.0,14518144.665000001,2500000.0,0.0,0.0,0.0,0.0,129533144.665,136680404.22862968,0.0,732764083.7673391,1073859976.0,341095892.2326609,0.245,6711955.623884311,0.0,435303.9397453633,7147259.563629674,0.04451456728806953,-1.862645149230957e-09,-129533144.665,7147259.563629674,-18.123470053355348,-19.29886785962348,0.21,657107743.175,0.0,129533144.665,7147259.563629674,732764083.7673391,-0.0
5,2Q2027,2027,2,71,43,192459.0,28,1408.12,271005367.08,271005367.08,0.0,1722819833.5799997,0.0,0.0,0.0,1.0,0.0,112515000.0,0.0,13550268.354,2500000.0,0.0,0.0,0.0,0.0,128565268.354,136798228.1409707,0.0,869562311.9083098,1073859976.0,204297664.09169018,0.245,7967296.507122386,0.0,265663.2798483262,8232959.786970712,0.04271520738659781,-7.450580596923828e-09,-128565268.354,8232959.786970712,-15.615923274332562,-16.136624040421832,0.21,799547841.9009999,0.0,128565268.354,8232959.786970712,869562311.9083098,-0.0
6,3Q2027,2027,3,43,19,192459.0,24,1206.96,232290314.64000002,232290314.64000002,0.0,1955110148.2199998,0.0,0.0,0.0,1.0,0.0,112515000.0,0.0,11614515.732,2500000.0,0.0,0.0,0.0,0.0,126629515.732,135941375.32312247,0.0,1005503687.2314323,1073859976.0,68356288.76856768,0.245,9214774.405672865,0.0,97085.18544961273,9311859.591122478,0.041389840099709356,0.0,-126629515.732,9311859.591122478,-13.598735514947311,-13.74200931647805,0.21,905208640.8089999,0.0,126629515.732,9311859.591122478,1005503687.2314323,-0.0
7,4Q2027,2027,4,19,1,192459.0,18,905.22,174217735.98000002,174217735.98000002,0.0,2129327884.1999998,0.0,0.0,-65302802.80843231,1.0,0.0,112515000.0,0.0,8710886.799,2500000.0,0.0,0.0,0.0,0.0,123725886.799,68356288.76856768,0.0,1073859976.0,1073859976.0,0.0,0.245,9933204.777999999,0.0,0.0,9933204.777999999,0.040461251564427994,-65302802.80843231,-123725886.799,9933204.777999999,-12.455787388278488,-12.455787388278488,0.21,955700489.9899999,0.0,123725886.799,65302802.80843231,1073859976.0,65302802.80843231
8,1Q2028,2028,1,1,1,192459.0,0,0.0,0.0,0.0,2129327884.1999998,0.0,2129327884.1999998,0.0,655045528.1160674,1.0,0.0,112515000.0,0.0,0.0,2500000.0,0.0,0.0,0.0,210171372.49749997,325186372.49749994,0.0,1073859976.0,0.0,1073859976.0,0.0,0.245,9933204.777999999,0.0,0.0,9933204.777999999,0.03985692296644575,720348330.9244998,1804141511.7024999,1083793180.778,1.66465479180022,181.62733498641862,0.21,840685489.9899999,2064025081.3915675,0.0,0.0,1073859976.0,0.0
9,2Q2028,2028,2,1,1,192459.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646703203.1460674,0.0,0.0,0.0,0.0,0.0,2500000.0,4500000.0,0.0,0.0,0.0,7000000.0,0.0,0.0,0.0,1073859976.0,1073859976.0,0.245,0.0,0.0,1342324.97,1342324.97,0.04072991440716195,-8342324.97,-7000000.0,1342324.97,-5.214832590054553,0.0,0.21,838185489.9899999,655045528.1160674,0.0,0.0,0.0,0.0
